circuit_name,circuit_url,locality,country,latitude,longitude,scraped_at_utc
Indianapolis Motor Speedway,https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,Speedway,United States,39.79833,-86.23278,2026-01-14T09:26:39.870876+00:00
Intercity Istanbul Park,https://en.wikipedia.org/wiki/Istanbul_Park,Istanbul,Turkey,40.95167,29.405,2026-01-14T09:26:39.870876+00:00
Jeddah Corniche Circuit,https://en.wikipedia.org/wiki/Jeddah_Corniche_Circuit,Jeddah,Saudi Arabia,21.63194,39.10444,2026-01-14T09:26:39.870876+00:00
Korea International Circuit,https://en.wikipedia.org/wiki/Korea_International_Circuit,Yeongam,South Korea,34.733,126.417,2026-01-14T09:26:39.870876+00:00
Kyalami Grand Prix Circuit,https://en.wikipedia.org/wiki/Kyalami_Racing_Circuit,Midrand,South Africa,-25.99806,28.06889,2026-01-14T09:26:39.870876+00:00
Las Vegas Strip Circuit,https://en.wikipedia.org/wiki/Las_Vegas_Strip_Circuit,Paradise,United States,36.10995,-115.16217,2026-01-14T09:26:39.870876+00:00
Long Beach Street Circuit,https://en.wikipedia.org/wiki/Long_Beach_Street_Circuit,Long Beach,United States,33.76639,-118.19278,2026-01-14T09:26:39.870876+00:00
Lusail International Circuit,https://en.wikipedia.org/wiki/Lusail_International_Circuit,Lusail,Qatar,25.49,51.45417,2026-01-14T09:26:39.870876+00:00
Madring,https://en.wikipedia.org/wiki/Madring,Barajas,Spain,40.46528,-3.61528,2026-01-14T09:26:39.870876+00:00
Marina Bay Street Circuit,https://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,Marina Bay,Singapore,1.2915306,103.86385,2026-01-14T09:26:39.870876+00:00
Miami International Autodrome,https://en.wikipedia.org/wiki/Miami_International_Autodrome,Miami Gardens,United States,25.95806,-80.23889,2026-01-14T09:26:39.870876+00:00
Montjuïc circuit,https://en.wikipedia.org/wiki/Montju%C3%AFc_circuit,Barcelona,Spain,41.36639,2.15167,2026-01-14T09:26:39.870876+00:00
Mosport International Raceway,https://en.wikipedia.org/wiki/Canadian_Tire_Motorsport_Park,Bowmanville,Canada,44.05,-78.67778,2026-01-14T09:26:39.870876+00:00
Nivelles-Baulers,https://en.wikipedia.org/wiki/Nivelles-Baulers,Nivelles,Belgium,50.62111,4.32694,2026-01-14T09:26:39.870876+00:00
Nürburgring,https://en.wikipedia.org/wiki/N%C3%BCrburgring,Nürburg,Germany,50.33556,6.9475,2026-01-14T09:26:39.870876+00:00
Pescara Circuit,https://en.wikipedia.org/wiki/Pescara_Circuit,Pescara,Italy,42.475,14.15083,2026-01-14T09:26:39.870876+00:00
Phoenix Street Circuit,https://en.wikipedia.org/wiki/Phoenix_Street_Circuit,Phoenix,United States,33.447917,-112.074583,2026-01-14T09:26:39.870876+00:00
