circuit_key,openf1_circuit_short_name,openf1_country_name,openf1_location,candidate_rank,match_score,wikipedia_circuit_name,wikipedia_country,wikipedia_locality,wikipedia_circuit_url,wikipedia_latitude,wikipedia_longitude
7,Spa-Francorchamps,Belgium,Spa-Francorchamps,3,0.1856,Nivelles-Baulers,Belgium,Nivelles,https://en.wikipedia.org/wiki/Nivelles-Baulers,50.62111,4.32694
9,Austin,United States,Austin,1,0.4397,Circuit of the Americas,United States,Austin,https://en.wikipedia.org/wiki/Circuit_of_the_Americas,30.13278,-97.64111
9,Austin,United States,Austin,2,0.3587,Watkins Glen International,United States,Watkins Glen,https://en.wikipedia.org/wiki/Watkins_Glen_International,42.337,-76.927
9,Austin,United States,Austin,3,0.3473,Sebring Raceway,United States,Sebring,https://en.wikipedia.org/wiki/Sebring_International_Raceway,27.455,-81.35
9,Austin,United States,Austin,4,0.2939,Dallas Fair Park,United States,Dallas,https://en.wikipedia.org/wiki/Fair_Park#Other_notable_events,32.78194,-96.76556
9,Austin,United States,Austin,5,0.2793,Las Vegas Strip Circuit,United States,Paradise,https://en.wikipedia.org/wiki/Las_Vegas_Strip_Circuit,36.10995,-115.16217
10,Melbourne,Australia,Melbourne,1,0.4893,Albert Park Circuit,Australia,Melbourne,https://en.wikipedia.org/wiki/Albert_Park_Circuit,-37.84972,144.96833
10,Melbourne,Australia,Melbourne,2,0.2454,Adelaide Street Circuit,Australia,Adelaide,https://en.wikipedia.org/wiki/Adelaide_Street_Circuit,-34.93056,138.62056
14,Interlagos,Brazil,São Paulo,1,0.4887,Autodromo José Carlos Pace,Brazil,São Paulo,https://en.wikipedia.org/wiki/Interlagos_circuit,-23.70111,-46.69722
14,Interlagos,Brazil,São Paulo,2,0.3252,Autódromo Internacional do Rio de Janeiro,Brazil,Rio de Janeiro,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet,-22.97556,-43.395
15,Catalunya,Spain,Barcelona,1,0.4515,Circuit de Pedralbes,Spain,Barcelona,https://en.wikipedia.org/wiki/Pedralbes_Circuit,41.39028,2.11667
15,Catalunya,Spain,Barcelona,2,0.4118,Circuit de Barcelona-Catalunya,Spain,Montmeló,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,41.57,2.26111
15,Catalunya,Spain,Barcelona,3,0.3762,Montjuïc circuit,Spain,Barcelona,https://en.wikipedia.org/wiki/Montju%C3%AFc_circuit,41.36639,2.15167
15,Catalunya,Spain,Barcelona,4,0.3375,Madring,Spain,Barajas,https://en.wikipedia.org/wiki/Madring,40.46528,-3.61528
15,Catalunya,Spain,Barcelona,5,0.2572,Valencia Street Circuit,Spain,Valencia,https://en.wikipedia.org/wiki/Valencia_Street_Circuit,39.458778,-0.32556
19,Spielberg,Austria,Spielberg,1,0.4682,Red Bull Ring,Austria,Spielberg,https://en.wikipedia.org/wiki/Red_Bull_Ring,47.21972,14.76472
19,Spielberg,Austria,Spielberg,2,0.331,Zeltweg Airfield,Austria,Zeltweg,https://en.wikipedia.org/wiki/Zeltweg_Airfield,47.20222,14.74222
22,Monte Carlo,Monaco,Monaco,1,0.4957,Circuit de Monaco,Monaco,Monte Carlo,https://en.wikipedia.org/wiki/Circuit_de_Monaco,43.73472,7.42056
23,Montreal,Canada,Montréal,1,0.5261,Circuit Mont-Tremblant,Canada,Mont-Tremblant,https://en.wikipedia.org/wiki/Circuit_Mont-Tremblant,46.1877056,-74.6099361
23,Montreal,Canada,Montréal,2,0.4288,Circuit Gilles-Villeneuve,Canada,Montreal,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,45.50056,-73.5225
23,Montreal,Canada,Montréal,3,0.3565,Mosport International Raceway,Canada,Bowmanville,https://en.wikipedia.org/wiki/Canadian_Tire_Motorsport_Park,44.05,-78.67778
39,Monza,Italy,Monza,1,0.547,Autodromo Nazionale di Monza,Italy,Monza,https://en.wikipedia.org/wiki/Autodromo_Nazionale_di_Monza,45.62056,9.28944
39,Monza,Italy,Monza,2,0.3427,Autodromo Internazionale Enzo e Dino Ferrari,Italy,Imola,https://en.wikipedia.org/wiki/Imola_Circuit,44.34111,11.71333
39,Monza,Italy,Monza,3,0.1855,Autodromo Internazionale del Mugello,Italy,Scarperia e San Piero,https://en.wikipedia.org/wiki/Autodromo_Internazionale_del_Mugello,43.9975,11.37194
39,Monza,Italy,Monza,4,0.1233,Pescara Circuit,Italy,Pescara,https://en.wikipedia.org/wiki/Pescara_Circuit,42.475,14.15083
