circuit_id,circuit_name,circuit_url,locality,country,circuit_lat,circuit_lon,scraped_at_utc,station_id,station_name,station_country,station_lat,station_lon,station_elevation,distance_km,selection_rule,coverage_notes
circuito-da-boavista,Circuito da Boavista,https://en.wikipedia.org/wiki/Circuito_da_Boavista,Porto,Portugal,41.170472,-8.67325,2026-01-14T09:26:39.870876+00:00,08545,Porto / Pedras Rubras,PT,41.2333,-8.6833,69,7.037,nearest,
circuito-de-monsanto,Circuito de Monsanto,https://en.wikipedia.org/wiki/Circuito_de_Monsanto,Lisbon,Portugal,38.71972,-9.20306,2026-01-14T09:26:39.870876+00:00,08535,Lisboa / Geof,PT,38.7167,-9.15,77,4.616,nearest,
lusail-international-circuit,Lusail International Circuit,https://en.wikipedia.org/wiki/Lusail_International_Circuit,Lusail,Qatar,25.49,51.45417,2026-01-14T09:26:39.870876+00:00,41161,Alkhor Airport / Tinbak,QA,25.6167,51.5167,10,15.422,nearest,
sochi-autodrom,Sochi Autodrom,https://en.wikipedia.org/wiki/Sochi_Autodrom,Sochi,Russia,43.41028,39.9682722,2026-01-14T09:26:39.870876+00:00,37171,Adler,RU,43.4333,39.9,16,6.079,nearest,
jeddah-corniche-circuit,Jeddah Corniche Circuit,https://en.wikipedia.org/wiki/Jeddah_Corniche_Circuit,Jeddah,Saudi Arabia,21.63194,39.10444,2026-01-14T09:26:39.870876+00:00,41024,Jeddah King Abdul Aziz International Airport,SA,21.7,39.1833,15,11.121,nearest,
marina-bay-street-circuit,Marina Bay Street Circuit,https://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,Marina Bay,Singapore,1.2915306,103.86385,2026-01-14T09:26:39.870876+00:00,48694,Singapore / Paya Lebar,SG,1.3667,103.9167,18,10.217,nearest,
kyalami-grand-prix-circuit,Kyalami Grand Prix Circuit,https://en.wikipedia.org/wiki/Kyalami_Racing_Circuit,Midrand,South Africa,-25.99806,28.06889,2026-01-14T09:26:39.870876+00:00,FAGC0,Grand Central / Glen Austin,ZA,-25.9833,28.15,1624,8.271,nearest,
prince-george-circuit,Prince George Circuit,https://en.wikipedia.org/wiki/Prince_George_Circuit,East London,South Africa,-33.04861,27.87361,2026-01-14T09:26:39.870876+00:00,68858,East London Airport,ZA,-33.0333,27.8333,125,4.125,nearest,
korea-international-circuit,Korea International Circuit,https://en.wikipedia.org/wiki/Korea_International_Circuit,Yeongam,South Korea,34.733,126.417,2026-01-14T09:26:39.870876+00:00,47166,Mokpo Airport,KR,34.75,126.3833,7,3.613,nearest,
circuit-de-barcelona-catalunya,Circuit de Barcelona-Catalunya,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,2026-01-14T09:26:39.870876+00:00,LELL0,Sabadell / Bellaterra,ES,41.5167,2.1,250,14.66,nearest,
circuit-de-pedralbes,Circuit de Pedralbes,https://en.wikipedia.org/wiki/Pedralbes_Circuit,Barcelona,Spain,41.39028,2.11667,2026-01-14T09:26:39.870876+00:00,08181,Barcelona / Aeropuerto,ES,41.2833,2.0667,4,12.606,nearest,
circuito-permanente-de-jerez,Circuito Permanente de Jerez,https://en.wikipedia.org/wiki/Circuito_de_Jerez,Jerez de la Frontera,Spain,36.70833,-6.03417,2026-01-14T09:26:39.870876+00:00,08451,Jerez De La Fronteraaeropuerto,ES,36.75,-6.0667,27,5.466,nearest,
circuito-permanente-del-jarama,Circuito Permanente del Jarama,https://en.wikipedia.org/wiki/Circuito_del_Jarama,San Sebastián de los Reyes,Spain,40.61722,-3.58556,2026-01-14T09:26:39.870876+00:00,08219,Madri-Colmenar,ES,40.65,-3.7333,0,12.989,nearest,
madring,Madring,https://en.wikipedia.org/wiki/Madring,Barajas,Spain,40.46528,-3.61528,2026-01-14T09:26:39.870876+00:00,LEMM0,Madrid / Barajas de Madrid,ES,40.5,-3.5833,633,4.714,nearest,
montju-c-circuit,Montjuïc circuit,https://en.wikipedia.org/wiki/Montju%C3%AFc_circuit,Barcelona,Spain,41.36639,2.15167,2026-01-14T09:26:39.870876+00:00,08181,Barcelona / Aeropuerto,ES,41.2833,2.0667,4,11.649,nearest,
valencia-street-circuit,Valencia Street Circuit,https://en.wikipedia.org/wiki/Valencia_Street_Circuit,Valencia,Spain,39.458778,-0.32556,2026-01-14T09:26:39.870876+00:00,08285,Valencia,ES,39.4833,-0.3833,13,5.657,nearest,
scandinavian-raceway,Scandinavian Raceway,https://en.wikipedia.org/wiki/Anderstorp_Raceway,Anderstorp,Sweden,57.26417,13.60139,2026-01-14T09:26:39.870876+00:00,02556,Hagshult Airport,SE,57.3,14.1333,169,32.216,nearest,
circuit-bremgarten,Circuit Bremgarten,https://en.wikipedia.org/wiki/Circuit_Bremgarten,Bern,Switzerland,46.95,7.41083,2026-01-14T09:26:39.870876+00:00,06631,Bern-Liebefeld / Rütti,CH,46.9908,7.4639,553,6.066,nearest,
intercity-istanbul-park,Intercity Istanbul Park,https://en.wikipedia.org/wiki/Istanbul_Park,Istanbul,Turkey,40.95167,29.405,2026-01-14T09:26:39.870876+00:00,LTFJ0,Istanbul / Kurtköy,TR,40.9,29.3,98,10.528,nearest,
yas-marina-circuit,Yas Marina Circuit,https://en.wikipedia.org/wiki/Yas_Marina_Circuit,Abu Dhabi,United Arab Emirates,24.46722,54.60306,2026-01-14T09:26:39.870876+00:00,41217,Abu Dhabi International Airport,AE,24.4333,54.65,16,6.066,nearest,
aintree-motor-racing-circuit,Aintree Motor Racing Circuit,https://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,Aintree,United Kingdom,53.47694,-2.94056,2026-01-14T09:26:39.870876+00:00,03318,Blackpool Airport,GB,53.7667,-3.0333,10,32.795,nearest,
brands-hatch-circuit,Brands Hatch Circuit,https://en.wikipedia.org/wiki/Brands_Hatch,West Kingsdown,United Kingdom,51.35667,0.2625,2026-01-14T09:26:39.870876+00:00,EGKB0,Biggin Hill / berry's green,GB,51.3167,0.0333,183,16.531,nearest,
donington-park,Donington Park,https://en.wikipedia.org/wiki/Donington_Park,Castle Donington,United Kingdom,52.82917,-1.375,2026-01-14T09:26:39.870876+00:00,EGNX0,East Midlands / Castle Donington,GB,52.8333,-1.3333,94,2.839,nearest,
silverstone-circuit,Silverstone Circuit,https://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone,United Kingdom,52.071,-1.016,2026-01-14T09:26:39.870876+00:00,EGTC0,Cranfield,GB,52.0667,-0.6167,111,27.298,nearest,
caesars-palace-grand-prix-circuit,Caesars Palace Grand Prix Circuit,https://en.wikipedia.org/wiki/Caesars_Palace_Grand_Prix,Paradise,United States,,,2026-01-14T09:26:39.870876+00:00,23207,Kotkino,RU,67.0167,51.2,18,,nearest,
circuit-of-the-americas,Circuit of the Americas,https://en.wikipedia.org/wiki/Circuit_of_the_Americas,Austin,United States,30.13278,-97.64111,2026-01-14T09:26:39.870876+00:00,74745,Austin / Del Valle,US,30.1945,-97.6699,165,7.4,nearest,
dallas-fair-park,Dallas Fair Park,https://en.wikipedia.org/wiki/Fair_Park#Other_notable_events,Dallas,United States,32.78194,-96.76556,2026-01-14T09:26:39.870876+00:00,72258,Dallas / Oldham,US,32.8471,-96.8518,148,10.837,nearest,
detroit-street-circuit,Detroit Street Circuit,https://en.wikipedia.org/wiki/Detroit_Street_Circuit,Detroit,United States,42.32975,-83.040111,2026-01-14T09:26:39.870876+00:00,DNYFH,Windsor Airport,CA,42.28,-82.96,190,8.603,nearest,
indianapolis-motor-speedway,Indianapolis Motor Speedway,https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,Speedway,United States,39.79833,-86.23278,2026-01-14T09:26:39.870876+00:00,KEYE0,Indianapolis / Clermont,US,39.8308,-86.2944,251,6.382,nearest,
las-vegas-strip-circuit,Las Vegas Strip Circuit,https://en.wikipedia.org/wiki/Las_Vegas_Strip_Circuit,Paradise,United States,36.10995,-115.16217,2026-01-14T09:26:39.870876+00:00,72386,McCarran International Airport,US,36.1167,-115.2667,663,9.42,nearest,
long-beach-street-circuit,Long Beach Street Circuit,https://en.wikipedia.org/wiki/Long_Beach_Street_Circuit,Long Beach,United States,33.76639,-118.19278,2026-01-14T09:26:39.870876+00:00,72297,Long Beach Airport,US,33.8167,-118.15,17,6.85,nearest,
miami-international-autodrome,Miami International Autodrome,https://en.wikipedia.org/wiki/Miami_International_Autodrome,Miami Gardens,United States,25.95806,-80.23889,2026-01-14T09:26:39.870876+00:00,KHWO0,Hollywood / Pembroke Pines,US,26.0012,-80.2407,2,4.8,nearest,
phoenix-street-circuit,Phoenix Street Circuit,https://en.wikipedia.org/wiki/Phoenix_Street_Circuit,Phoenix,United States,33.447917,-112.074583,2026-01-14T09:26:39.870876+00:00,72278,Phoenix Sky Harbor Airport,US,33.4333,-112.05,345,2.801,nearest,
riverside-international-raceway,Riverside International Raceway,https://en.wikipedia.org/wiki/Riverside_International_Raceway,Moreno Valley,United States,33.933389,-117.272278,2026-01-14T09:26:39.870876+00:00,72286,Riverside / March Air Force Base,US,33.9,-117.25,469,4.244,nearest,
sebring-raceway,Sebring Raceway,https://en.wikipedia.org/wiki/Sebring_International_Raceway,Sebring,United States,27.455,-81.35,2026-01-14T09:26:39.870876+00:00,KSEF0,Sebring / Istokpoga,US,27.4564,-81.3424,19,0.766,nearest,
watkins-glen-international,Watkins Glen International,https://en.wikipedia.org/wiki/Watkins_Glen_International,Watkins Glen,United States,42.337,-76.927,2026-01-14T09:26:39.870876+00:00,KELM0,Elmira / Big Flats Airport,US,42.1599,-76.8916,291,19.907,nearest,
